state,primary_date
ALABAMA,0018-06-05
ALASKA,0018-08-21
ARIZONA,0018-08-28
ARKANSAS,0018-05-22
CALIFORNIA,0018-06-05
COLORADO,0018-06-26
CONNECTICUT,0018-08-14
DELAWARE,0018-09-06
FLORIDA,0018-08-28
GEORGIA,0018-05-22
HAWAII,0018-08-11
IDAHO,0018-05-15
ILLINOIS,0018-03-20
INDIANA,0018-05-08
IOWA,0018-06-05
KANSAS,0018-06-05
KENTUCKY,0018-05-22
MAINE,0018-06-12
MARYLAND,0018-06-26
MASSACHUSETTS,0018-09-04
MICHIGAN,0018-08-07
MINNESOTA,0018-08-14
MISSISSIPPI,0018-06-05
MISSOURI,0018-08-07
MONTANA,0018-06-05
NEBRASKA,0018-05-15
NEVADA,0018-06-12
NEW HAMPSHIRE,0018-09-11
NEW JERSEY,0018-06-05
NEW MEXICO,0018-06-05
NEW YORK,0018-09-13
NORTH CAROLINA,0018-05-08
NORTH DAKOTA,0018-06-12
OHIO,0018-05-08
OKLAHOMA,0018-06-26
OREGON,0018-05-15
PENNSYLVANIA,0018-05-15
RHODE ISLAND,0018-09-12
SOUTH CAROLINA,0018-06-12
SOUTH DAKOTA,0018-06-05
TENNESSEE,0018-08-02
TEXAS,0018-03-06
UTAH,0018-06-26
VERMONT,0018-08-14
VIRGINIA,0018-06-12
WASHINGTON,0018-08-07
WEST VIRGINIA,0018-05-08
WISCONSIN,0018-08-14
WYOMING,0018-08-21
