state,primary_date,cand_party
ALABAMA,0010-06-01,
ALASKA,0010-08-24,
ARIZONA,0010-08-24,
ARKANSAS,0010-05-18,
CALIFORNIA,0010-06-08,
COLORADO,0010-08-10,
CONNECTICUT,0010-05-10,1
CONNECTICUT,0010-05-21,0
DELAWARE,0010-09-14,
FLORIDA,0010-08-24,
GEORGIA,0010-07-20,
HAWAII,0010-09-18,
IDAHO,0010-05-25,
ILLINOIS,0010-02-02,
INDIANA,0010-05-04,
IOWA,0010-06-08,
KANSAS,0010-08-03,
KENTUCKY,0010-05-18,
MAINE,0010-06-08,
MARYLAND,0010-09-14,
MASSACHUSETTS,0010-09-14,
MICHIGAN,0010-08-03,
MINNESOTA,0010-08-10,
MISSISSIPPI,0010-06-01,
MISSOURI,0010-08-03,
MONTANA,0010-06-08,
NEBRASKA,0010-05-11,
NEVADA,0010-06-08,
NEW HAMPSHIRE,0010-09-14,
NEW JERSEY,0010-06-08,
NEW MEXICO,0010-06-01,
NEW YORK,0010-09-14,
NORTH CAROLINA,0010-05-04,
NORTH DAKOTA,0010-06-08,
OHIO,0010-05-04,
OKLAHOMA,0010-07-27,
OREGON,0010-05-18,
PENNSYLVANIA,0010-05-18,
RHODE ISLAND,0010-09-14,
SOUTH CAROLINA,0010-06-08,
SOUTH DAKOTA,0010-06-08,
TENNESSEE,0010-08-05,
TEXAS,0010-03-02,
UTAH,0010-06-22,
VERMONT,0010-08-24,
VIRGINIA,0010-06-18,
WASHINGTON,0010-08-17,
WEST VIRGINIA,0010-05-11,
WISCONSIN,0010-09-14,
WYOMING,0010-08-17,
